Serial_Number,Common_Name,Scientific_Name,Oxygen_Output_Full_Growth_(kg/year),First_Flowering_Time_(years),Full_Growth_Time_(years),Additional Benefit,Soil_Type,Region_Suitability,Climate_Suitability,Above_Ground_Biomass_(kg/m sq),Below_Ground_Biomass_(kg/m sq),Total_Biomass_(kg/m sq),Total Carbon (TC) (kg/m sq),Carbon_Sequestration_(kg/year/m sq),Trunk_Size_(m),Tree_Height_(m),Branch_Length_(m),Crown_Diameter_(m),Crown_Area_(m sq),Root_Span_(m sq),Total_AGB_(in kg),Total_BGB_(in kg),Total_Biomass_(in kg),Total_Carbon_(in kg),Total_Carbon_Sequestration_(in kg),Carbon_Sequestration_First_Flowering_(in kg/year),Oxygen_Output_First_Flowering_(kg/year)
28,Betel Nut Palm,Areca catechu,17.91,4,15,"""Area limited""","""Loamy, Sandy, Laterite, Coastal""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",2.35,0.47,2.82,1.33,4.88,0.6,10,5,4,12.57,6,29.5,2.8,32.3,15.2,55.7,245.3664,1.43
29,Mahua,Madhuca indica,81.11,8,27,"""Fruiting, Medicinal""","""Sandy, Loamy, Alluvial, Clayey""","""Rural""","""Tropical, Tropical Monsoon, Subtropical, Semi-Arid, Arid""",10.25,2.56,12.81,6.02,22.1,0.9,18,9,7.2,40.72,10.8,417.6,27.6,445.2,209.2,767.2,7199.296,7.21
30,Indian Willow,Salix tetrasperma,32.59,3,15,"""Area limited""","""Loamy, Alluvial, Forest""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",4.12,1.03,5.15,2.42,8.88,0.7,12,6,4.8,18.1,7.2,74.6,7.4,82,38.5,141.3,482.184,1.96
31,Sacred Garlic Pear,Crateva religiosa,22.5,4,15,"""Medicinal, Decorative""","""Loamy, Sandy, Alluvial""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",2.85,0.71,3.56,1.67,6.13,0.6,10,5,4,12.57,6,35.8,4.3,40.1,18.8,69.1,308.2164,1.8
32,Silver Oak,Grevillea robusta,69.25,4,25,"""Timber, Decorative""","""Sandy, Loamy, Clayey, Laterite""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",8.75,2.19,10.94,5.14,18.87,0.8,15,7.5,6,28.27,9,247.4,19.7,267.1,125.5,460.3,2133.8196,3.32
33,Ber,Ziziphus mauritiana,24.67,3,15,"""Fruiting""","""Sandy, Loamy, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",3.12,0.78,3.9,1.83,6.72,0.7,12,6,4.8,18.1,7.2,56.5,5.6,62.1,29.2,107,364.896,1.48
34,Custard Apple,Annona squamosa,14.68,2,10,"""Fruiting""","""Sandy, Loamy, Red, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",1.85,0.46,2.31,1.09,4,0.5,8,4,3.2,8.04,4.8,14.9,2.2,17.1,8,29.4,64.32,0.88
35,Indian Bael,Aegle marmelos,36.12,4,15,"""Fruiting, Medicinal""","""Loamy, Red, Alluvial, Black, Laterite, Forest""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Semi-Arid""",4.56,1.14,5.7,2.68,9.84,0.6,10,5,4,12.57,6,57.3,6.8,64.1,30.1,110.5,494.7552,2.89
36,Ebony,Diospyros melanoxylon,148.42,8,40,"""Area limited""","""Loamy, Red, Black, Laterite, Forest""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Semi-Arid""",18.75,4.69,23.44,11.02,40.44,1,20,10,8,50.27,12,942.5,56.3,998.8,469.4,1721.2,16263.3504,8.91
37,Indian Coral Tree,Erythrina variegata,32.59,3,15,"""Decorative, Medicinal""","""Loamy, Sandy, Red, Alluvial, Black, Laterite""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",4.12,1.03,5.15,2.42,8.88,0.7,12,6,4.8,18.1,7.2,74.6,7.4,82,38.5,141.3,482.184,1.96
38,Indian Tulip,Thespesia populnea,11.25,3,15,"""Decorative, Medicinal""","""Loamy, Sandy, Red, Alluvial, Laterite""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",2.69,0.67,3.36,1.58,5.81,0.6,10,5,4,12.57,6,33.8,4,37.8,17.8,65.2,219.0951,0.68
39,Indian Mast Tree,Polyalthia longifolia,36.12,4,15,"""Decorative""","""Loamy, Red, Alluvial, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.7,12,6,4.8,18.1,7.2,82.5,8.2,90.7,42.6,156.3,712.416,2.89
40,Sissoo,Dalbergia sissoo,81.11,4,25,"""Timber""","""Loamy, Sandy, Alluvial, Red, Laterite""","""Urban, Rural""","""Tropical, Subtropical, Semi-Arid, Arid""",10.25,2.56,12.81,6.02,22.12,0.9,18,9,7.2,40.72,10.8,417.6,27.6,445.2,209.2,767.2,3602.9056,3.89
41,Babul,Vachellia nilotica,33.76,3,15,"""Medicinal""","""Sandy, Loamy, Alluvial, Red, Laterite, Black""","""Rural""","""Tropical, Subtropical, Semi-Arid, Arid""",6.46,1.62,8.08,3.8,13.93,0.8,15,7.5,6,28.27,9,182.6,14.6,197.2,92.7,339.9,1181.4033,2.03
42,Curry Leaf Tree,Murraya koenigii,2.64,2,8,"""Fruiting, Medicinal""","""Loamy, Sandy, Alluvial, Red, Laterite""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",1.08,0.27,1.35,0.63,2.32,0.4,6,3,2.4,4.52,3.6,4.9,1,5.9,2.8,10.2,20.9728,0.2
43,Lemon,Citrus limon,3.12,3,7,"""Fruiting""","""Loamy, Sandy, Alluvial, Red, Laterite""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Humid Subtropical""",1.23,0.31,1.54,0.72,2.65,0.5,8,4,3.2,8.04,4.8,9.9,1.5,11.4,5.4,19.7,63.918,0.4
44,Orange,Citrus sinensis,6.2,3,12,"""Fruiting""","""Loamy, Sandy, Alluvial, Red, Laterite""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Humid Subtropical""",2.45,0.61,3.06,1.44,5.28,0.6,10,5,4,12.57,6,30.8,3.7,34.5,16.2,59.4,199.1088,0.47
45,Starfruit,Averrhoa carambola,4.69,3,12,"""Fruiting""","""Loamy, Sandy, Red, Alluvial, Laterite""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",1.85,0.46,2.31,1.09,4,0.5,8,4,3.2,8.04,4.8,14.9,2.2,17.1,8,29.4,96.48,0.35
46,Indian Chestnut,Castanopsis indica,74.77,5,20,"""Area limited""","""Loamy, Red, Laterite, Alluvial, Forest""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",9.45,2.36,11.81,5.55,20.37,0.9,18,9,7.2,40.72,10.8,384.8,25.5,410.3,192.8,707.1,4147.332,5.61
47,Bottlebrush,Callistemon spp.,4.69,2,10,"""Decorative""","""Sandy, Loamy, Red, Laterite, Black""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Humid Subtropical""",1.85,0.46,2.31,1.09,4,0.5,8,4,3.2,8.04,4.8,14.9,2.2,17.1,8,29.4,64.32,0.28
48,Wood Apple,Limonia acidissima,36.12,6,15,"""Fruiting, Medicinal""","""Sandy, Loamy, Red, Alluvial, Laterite, Black""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.7,12,6,4.8,18.1,7.2,82.5,8.2,90.7,42.6,156.3,1068.624,4.33
49,Sandalwood,Santalum album,100.89,3,50,"""Area limited""","""Red, Sandy, Loamy, Laterite, Black, Forest""","""Rural""","""Tropical, Subtropical, Semi-Arid, Arid""",12.75,3.19,15.94,7.49,27.49,0.8,15,7.5,6,28.27,9,360.6,28.7,389.3,183,671,2331.4269,1.82
50,Indian Elm,Holoptelea integrifolia,36.12,4,15,"""Area limited""","""Loamy, Sandy, Red, Alluvial, Laterite, Forest""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.7,12,6,4.8,18.1,7.2,82.5,8.2,90.7,42.6,156.3,712.416,2.89
51,Indian Persimmon,Diospyros lotus,69.25,5,20,"""Area limited""","""Loamy, Red, Alluvial, Black, Forest""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Humid Subtropical""",8.75,2.19,10.94,5.14,18.87,0.8,15,7.5,6,28.27,9,247.4,19.7,267.1,125.5,460.3,2667.2745,5.19
52,Guggul,Commiphora wightii,4.69,5,12,"""Medicinal""","""Sandy, Loamy, Laterite, Red""","""Rural""","""Tropical, Subtropical, Semi-Arid, Arid""",1.85,0.46,2.31,1.09,4,0.5,8,4,3.2,8.04,4.8,14.9,2.2,17.1,8,29.4,160.8,0.59
53,Indian Cherry,Muntingia calabura,22.5,4,15,"""Fruiting""","""Sandy, Loamy, Red, Alluvial, Black, Forest""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Humid Subtropical""",2.85,0.71,3.56,1.67,6.13,0.6,10,5,4,12.57,6,35.8,4.3,40.1,18.8,69.1,308.2164,1.8
54,Raintree,Albizia saman,124.63,4,30,"""Decorative""","""Sandy, Loamy, Alluvial, Red, Laterite""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",15.75,3.94,19.69,9.25,33.96,1,20,10,8,50.27,12,791.5,47.3,838.8,394.2,1445.5,6828.6768,4.99
55,Soapnut,Sapindus mukorossi,58.18,9,25,"""Medicinal""","""Sandy, Loamy, Red, Laterite, Black, Alluvial, Forest""","""Urban, Rural""","""Tropical, Subtropical, Semi-Arid, Arid""",7.35,1.84,9.19,4.32,15.85,0.9,18,9,7.2,40.72,10.8,299.4,19.9,319.3,150.1,550.3,5808.708,6.28
56,Indian Medlar,Mimusops elengi,53.49,6,25,"""Decorative, Medicinal""","""Sandy, Loamy, Red, Laterite, Alluvial, Black, Forest""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Humid Subtropical""",6.75,1.69,8.44,3.97,14.57,0.8,15,7.5,6,28.27,9,190.8,15.2,206,96.8,355,2471.3634,3.85
57,Water Apple,Syzygium aqueum,4.69,3,12,"""Fruiting""","""Sandy, Loamy, Red, Alluvial, Laterite, Forest""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",1.85,0.46,2.31,1.09,4.69,0.5,8,4,3.2,8.04,4.8,14.9,2.2,17.1,8,29.4,113.1228,0.35
58,Screw Pine,Pandanus tectorius,17.91,6,15,"""Area limited""","""Sandy, Loamy, Laterite, Red, Alluvial, Forest, Coastal""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",2.35,0.47,2.82,1.33,4.88,0.6,10,5,4,12.57,6,29.5,2.8,32.3,15.2,55.7,368.0496,2.15
59,Wild Mango,Mangifera sylvatica,100.89,6,30,"""Area limited""","""Sandy, Loamy, Red, Alluvial, Laterite, Forest, Black""","""Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",12.75,3.19,15.94,7.49,27.49,1,20,10,8,50.27,12,640.9,38.3,679.2,319.2,1170.5,8291.5338,6.05
60,Star Gooseberry,Phyllanthus acidus,3.12,3,12,"""Fruiting""","""Sandy, Loamy, Red, Laterite, Black, Alluvial""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Humid Subtropical""",1.23,0.31,1.54,0.72,2.56,0.5,8,4,3.2,8.04,4.8,9.9,1.5,11.4,5.4,19.7,61.7472,0.23
61,White Teak,Gmelina arborea,69.25,4,25,"""Timber, Medicinal""","""Loamy, Red, Laterite, Black, Alluvial, Forest""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",8.75,2.19,10.94,5.14,18.87,0.9,18,9,7.2,40.72,10.8,356.4,23.7,380.1,178.6,655,3073.5456,3.32
62,Ceylon Oak,Schleichera oleosa,74.77,6,30,"""Area limited""","""Loamy, Red, Laterite, Black, Alluvial, Forest""","""Rural""","""Tropical, Subtropical, Humid Subtropical""",9.45,2.36,11.81,5.55,20.37,0.9,18,9,7.2,40.72,10.8,384.8,25.5,410.3,192.8,707.1,4976.7984,4.49
63,Palmyra Palm,Borassus flabellifer,66.5,10,40,"""Fruiting, Medicinal""","""Sandy, Loamy, Red, Laterite, Alluvial, Coastal""","""Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Semi-Arid""",8.75,1.75,10.5,4.94,18.12,1,20,10,8,50.27,12,439.9,21,460.9,216.6,794.3,9108.924,4.99
64,Indian Birch,Betula utilis,58.18,6,25,"""Area limited""","""Loamy, Laterite, Alluvial, Forest, Alpine""","""Rural""","""Tropical, Subtropical, Humid Subtropical""",7.35,1.84,9.19,4.32,15.85,0.8,15,7.5,6,28.27,9,207.8,16.6,224.4,105.5,386.8,2688.477,4.19
65,Wild Guava,Careya arborea,24.67,3,12,"""Medicinal""","""Sandy, Loamy, Red, Laterite, Black, Alluvial""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",3.12,0.78,3.9,1.83,6.72,0.7,12,6,4.8,18.1,7.2,56.5,5.6,62.1,29.2,107,364.896,1.85
66,Large-leaved Mahogany,Swietenia macrophylla,124.63,7,50,"""Timber""","""Loamy, Red, Laterite, Black, Alluvial""","""Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",15.75,3.94,19.69,9.25,33.96,1,20,10,8,50.27,12,791.5,47.3,838.8,394.2,1445.5,11950.1844,5.23
67,Indian Corkwood,Millingtonia hortensis,58.18,4,30,"""Decorative""","""Sandy, Loamy, Red, Laterite, Alluvial""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",7.35,1.84,9.19,4.32,15.85,0.8,15,7.5,6,28.27,9,207.8,16.6,224.4,105.5,386.8,1792.318,2.33
68,Indian Butter Tree,Madhuca longifolia,100.89,8,35,"""Fruiting, Medicinal""","""Loamy, Red, Laterite, Black, Alluvial, Forest""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",12.75,3.19,15.94,7.49,27.49,1,20,10,8,50.27,12,640.9,38.3,679.2,319.2,1170.5,11055.3784,6.92
69,Sapota ,Manilkara zapota,74.77,3,30,"""Fruiting""","""Sandy, Loamy, Red, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",9.45,2.36,11.81,5.55,20.37,0.9,18,9,7.2,40.72,10.8,384.8,25.5,410.3,192.8,707.1,2488.3992,2.24
70,Indian Capers,Capparis zeylanica,4.96,3,12,"""Medicinal""","""Sandy, Loamy, Red, Laterite, Alluvial""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Semi-Arid, Arid""",1.85,0.46,2.31,1.09,4,0.5,8,4,3.2,8.04,4.8,14.9,2.2,17.1,8,29.4,96.48,0.37
71,Kadam,Anthocephalus chinensis,100.89,6,35,"""Area limited""","""Loamy, Red, Alluvial, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",12.75,3.19,15.94,7.49,27.49,1,20,10,8,50.27,12,640.9,38.3,679.2,319.2,1170.5,8291.5338,5.19
72,Indian Kino Tree,Pterocarpus marsupium,148.42,5,40,"""Medicinal""","""Loamy, Red, Laterite, Forest, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",18.75,4.69,23.44,11.02,40.44,1,20,10,8,50.27,12,942.5,56.3,998.8,469.4,1721.2,10164.594,5.57
73,Indian Redwood,Chukrasia tabularis,36.12,3,15,"""Timber""","""Loamy, Red, Laterite, Alluvial""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.7,12,6,4.8,18.1,7.2,82.5,8.2,90.7,42.6,156.3,534.312,2.17
74,Cinnamon,Cinnamomum verum,36.12,4,30,"""Medicinal""","""Loamy, Red, Laterite, Forest""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.8,15,7.5,6,28.27,9,128.9,10.3,139.2,65.4,239.9,1112.7072,1.44
75,Indian Mahua,Madhuca latifolia,100.89,8,40,"""Fruiting, Medicinal""","""Loamy, Black, Laterite, Forest""","""Urban, Rural""","""Tropical, Subtropical, Semi-Arid""",12.75,3.19,15.94,7.49,27.49,1,20,10,8,50.27,12,640.9,38.3,679.2,319.2,1170.5,11055.3784,6.05
76,White Gulmohar,Delonix elata,58.18,3,25,"""Area limited""","""Sandy, Loamy, Red, Laterite""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",7.35,1.84,9.19,4.32,15.85,0.8,15,7.5,6,28.27,9,207.8,16.6,224.4,105.5,386.8,1344.2385,2.09
77,Breadfruit,Artocarpus altilis,69.25,5,30,"""Fruiting""","""Sandy, Loamy, Red, Laterite""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",8.75,2.19,10.94,5.14,18.87,0.9,18,9,7.2,40.72,10.8,356.4,23.7,380.1,178.6,655,3841.932,3.46
78,Wild Olive,Olea dioica,74.77,6,35,"""Area limited""","""Loamy, Red, Laterite, Alluvial, Black""","""Urban, Rural""","""Tropical, Subtropical, Semi-Arid, Arid""",9.45,2.36,11.81,5.55,20.37,0.9,18,9,7.2,40.72,10.8,384.8,25.5,410.3,192.8,707.1,4976.7984,3.85
